SOMAscan ID,UniProt ID,Gene,Protein,#SNP,Internal_R2,Internal_Rho,FENLAND_R2,FENLAND_Rho,FENLAND_MissingRate,MEC_CN_R2,MEC_CN_Rho,MEC_CN_MissingRate,MEC_IN_R2,MEC_IN_Rho,MEC_IN_MissingRate,MEC_MA_R2,MEC_MA_Rho,MEC_MA_MissingRate,JHS_R2,JHS_Rho,JHS_MissingRate
CHST11.7779.86.3,Q9NPF2,CHST11,Carbohydrate sulfotransferase 11,24,0.088,0.299,0.11,0.341,0.0,0.088,0.294,0.125,0.046,0.215,0.125,0.079,0.275,0.125,,,
KNG1.7784.1.3,P01042,KNG1,Kininogen-1,13,0.04,0.182,0.032,0.184,0.0,0.012,0.103,0.077,0.012,0.088,0.077,0.001,0.033,0.077,,,
EFNB3.7785.1.3,Q15768,EFNB3,Ephrin-B3,14,0.039,0.209,0.008,0.097,0.071,0.02,0.141,0.0,0.019,0.135,0.0,0.071,0.268,0.0,,,
LILRA5.7787.25.3,A6NI73,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,43,0.177,0.405,0.127,0.345,0.233,0.078,0.259,0.163,0.081,0.273,0.163,0.054,0.223,0.163,,,
LIF.7790.21.3,P15018,LIF,Leukemia inhibitory factor,5,0.02,0.134,0.001,0.026,0.0,0.0,0.001,0.0,0.032,0.158,0.0,0.004,0.056,0.0,,,
KLRC3.7795.14.3,Q07444,KLRC3,NKG2-E type II integral membrane protein,15,0.087,0.255,0.166,0.335,0.0,0.207,0.376,0.0,0.303,0.507,0.0,0.242,0.44,0.0,,,
CD79A.7796.10.3,P11912,CD79A,B-cell antigen receptor complex-associated protein alpha chain,10,0.029,0.173,0.01,0.101,0.0,0.002,0.047,0.0,0.0,-0.007,0.0,0.011,0.089,0.0,,,
KIR2DL5A.7799.3.3,Q8N109,KIR2DL5A,Killer cell immunoglobulin-like receptor 2DL5A,10,0.035,0.182,,,,,,,,,,,,,,,
CHST1.7803.4.3,O43916,CHST1,Carbohydrate sulfotransferase 1,1,0.017,0.117,0.002,0.049,0.0,0.0,-0.006,0.0,0.001,0.021,0.0,0.004,0.051,0.0,,,
GOSR1.7805.52.3,O95249,GOSR1,Golgi SNAP receptor complex member 1,10,0.039,0.208,0.0,0.015,0.0,0.0,-0.009,0.0,0.0,-0.007,0.0,0.004,0.064,0.0,,,
B4GALT7.7806.33.3,Q9UBV7,B4GALT7,Beta-1_4-galactosyltransferase 7,1,0.009,0.067,0.0,-0.001,0.0,0.0,,0.0,0.0,0.018,0.0,0.0,,0.0,,,
GLCE.7808.5.3,O94923,GLCE,D-glucuronyl C5-epimerase,123,0.341,0.565,0.329,0.567,0.016,0.234,0.458,0.13,0.258,0.507,0.13,0.207,0.437,0.13,,,
C1QTNF5.7810.20.3,Q9BXJ0,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,40,0.069,0.262,0.056,0.235,0.0,0.008,0.094,0.075,0.035,0.195,0.075,0.032,0.165,0.075,,,
GBP6.7818.101.3,Q6ZN66,GBP6,Guanylate-binding protein 6,9,0.04,0.201,0.003,0.05,0.0,0.01,0.086,0.0,0.011,0.113,0.0,0.028,0.149,0.0,,,
ST6GALNAC2.7823.22.3,Q9UJ37,ST6GALNAC2,Alpha-N-acetylgalactosaminide alpha-2_6-sialyltransferase 2,2,0.029,0.157,0.007,0.133,0.0,0.001,-0.038,0.5,0.001,0.027,0.5,0.002,0.049,0.5,,,
DCLK3.7826.1.3,Q9C098,DCLK3,Serine/threonine-protein kinase DCLK3,1,0.01,0.062,0.0,0.0,0.0,,,,,,,,,,,,
ADAM32.7827.20.3,Q8TC27,ADAM32,Disintegrin and metalloproteinase domain-containing protein 32,7,0.022,0.116,0.01,0.096,0.0,0.032,0.188,0.0,0.012,0.1,0.0,0.015,0.127,0.0,,,
SMR3A.7838.27.3,Q99954,SMR3A,Submaxillary gland androgen-regulated protein 3A,15,0.096,0.282,0.0,0.013,0.0,0.0,-0.008,0.0,0.0,0.004,0.0,0.001,0.031,0.0,,,
FAM19A3.7839.99.3,Q7Z5A8,TAFA3,Protein FAM19A3,1,0.01,0.089,0.0,0.009,0.0,0.001,-0.035,0.0,0.0,0.004,0.0,0.0,0.008,0.0,,,
LGMN.7840.64.3,Q99538,LGMN,Legumain,2,0.03,0.125,,,,,,,,,,,,,,,
ESAM.7841.84.3,Q96AP7,ESAM,Endothelial cell-selective adhesion molecule,6,0.033,0.148,0.025,0.162,0.0,0.007,0.067,0.0,0.001,0.039,0.0,0.004,0.059,0.0,,,
COX4I2.7850.1.3,Q96KJ9,COX4I2,Cytochrome c oxidase subunit 4 isoform 2_ mitochondrial,3,0.032,0.167,0.02,0.193,0.0,0.0,0.024,0.333,0.012,0.142,0.333,0.015,0.143,0.333,,,
MTIF3.7852.9.3,Q9H2K0,MTIF3,Translation initiation factor IF-3_ mitochondrial,1,0.009,0.087,0.0,0.01,0.0,0.0,0.024,0.0,0.0,-0.005,0.0,0.006,0.089,0.0,,,
NCR3LG1.7854.38.3,Q68D85,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,2,0.017,0.1,0.0,-0.012,0.0,0.002,-0.05,0.5,0.002,0.059,0.5,0.0,-0.015,0.5,,,
FAM151A.7856.51.3,Q8WW52,FAM151A,Protein FAM151A,12,0.046,0.219,0.049,0.22,0.0,0.058,0.242,0.0,0.057,0.242,0.0,0.041,0.218,0.0,,,
PCDHGC3.7859.21.3,Q9UN70,PCDHGC3,Protocadherin gamma-C3,46,0.125,0.34,0.143,0.371,0.022,0.115,0.331,0.0,0.033,0.165,0.0,0.061,0.238,0.0,,,
ROR2.7861.9.3,Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,8,0.028,0.162,0.018,0.133,0.0,0.005,0.087,0.0,0.014,0.111,0.0,0.01,0.097,0.0,,,
SIGLEC8.7864.3.3,Q9NYZ4,SIGLEC8,Sialic acid-binding Ig-like lectin 8,10,0.049,0.209,0.005,0.046,0.1,0.0,-0.021,0.4,0.0,0.003,0.4,0.003,0.06,0.4,,,
DNAJC30.7866.11.3,Q96LL9,DNAJC30,DnaJ homolog subfamily C member 30,12,0.032,0.087,0.005,0.037,0.25,0.0,0.003,0.167,0.008,0.091,0.167,0.002,-0.063,0.167,,,
ST6GALNAC1.7867.154.3,Q9NSC7,ST6GALNAC1,Alpha-N-acetylgalactosaminide alpha-2_6-sialyltransferase 1,11,0.043,0.206,0.0,0.003,0.091,0.001,-0.022,0.0,0.001,0.025,0.0,0.0,-0.011,0.0,,,
TMEM132A.7871.16.3,Q24JP5,TMEM132A,Transmembrane protein 132A,66,0.195,0.419,0.238,0.478,0.0,0.118,0.342,0.091,0.06,0.258,0.091,0.098,0.303,0.091,,,
PSMA1.7880.9.3,P25786,PSMA1,Proteasome subunit alpha type-1,11,0.045,0.216,0.003,0.051,0.0,0.004,0.052,0.0,0.012,0.117,0.0,0.023,0.131,0.0,,,
PARP16.7881.244.3,Q8N5Y8,PARP16,Mono [ADP-ribose] polymerase PARP16,47,0.2,0.376,0.0,0.005,0.0,0.003,0.045,0.064,0.003,0.047,0.064,0.0,0.021,0.064,,,
SLAMF7.7882.31.3,Q9NQ25,SLAMF7,SLAM family member 7,36,0.085,0.297,,,,,,,,,,,,,,,
CFHR5.7885.17.3,Q9BXR6,CFHR5,Complement factor H-related protein 5,54,0.121,0.262,,,,,,,,,,,,,,,
COA3.7888.58.3,Q9Y2R0,COA3,Cytochrome c oxidase assembly factor 3 homolog_ mitochondrial,3,0.026,0.139,0.0,0.007,0.0,0.001,-0.051,0.0,0.003,0.038,0.0,0.003,-0.038,0.0,,,
UGT1A6.7891.45.3,P19224,UGT1A6,UDP-glucuronosyltransferase 1-6,23,0.066,0.255,0.038,0.208,0.043,0.013,0.098,0.217,0.044,0.226,0.217,0.02,0.153,0.217,,,
MRAP.7895.108.3,Q8TCY5,MRAP,Melanocortin-2 receptor accessory protein,1,0.01,0.087,0.0,-0.001,0.0,0.0,-0.013,0.0,0.001,-0.038,0.0,0.0,0.042,0.0,,,
DLG3.7897.75.3,Q92796,DLG3,Disks large homolog 3,1,0.012,0.072,0.0,0.013,0.0,,,,,,,,,,,,
HP.7905.30.3,P00738,HP,Haptoglobin,307,0.457,0.673,0.468,0.675,0.003,0.316,0.568,0.179,0.251,0.457,0.179,0.314,0.567,0.179,,,
SHBG.7909.37.3,P04278,SHBG,Sex hormone-binding globulin,21,0.037,0.184,,,,,,,,,,,,,,,
LRFN1.7910.41.3,Q9P244,LRFN1,Leucine-rich repeat and fibronectin type III domain-containing protein 1,1,0.012,0.091,0.0,-0.006,0.0,0.005,0.078,0.0,0.001,-0.041,0.0,0.001,0.056,0.0,,,
SCN4B.7911.29.3,Q8IWT1,SCN4B,Sodium channel subunit beta-4,1,0.012,0.093,0.0,0.012,0.0,0.0,0.012,0.0,0.003,0.063,0.0,0.002,0.051,0.0,,,
APLP2.7915.31.3,Q06481,APLP2,Amyloid-like protein 2,1,0.01,0.085,,,,,,,,,,,,,,,
S100A7.7916.10.3,P31151,S100A7,Protein S100-A7,62,0.255,0.26,0.268,0.26,0.065,0.0,-0.004,0.097,0.122,0.081,0.097,0.007,0.02,0.097,,,
AMY1A.7918.114.3,P04745,AMY1A|AMY1B|AMY1C,Alpha-amylase 1,53,0.168,0.356,0.131,0.305,0.038,0.005,0.093,0.226,0.12,0.316,0.226,0.014,0.095,0.226,,,
FJX1.7921.65.3,Q86VR8,FJX1,Four-jointed box protein 1,6,0.035,0.179,0.05,0.217,0.0,0.041,0.198,0.0,0.02,0.107,0.0,0.024,0.161,0.0,,,
SEMA4C.7923.41.3,Q9C0C4,SEMA4C,Semaphorin-4C,1,0.012,0.076,0.0,0.015,0.0,,,,,,,,,,,,
CD3G.7924.7.3,P09693,CD3G,T-cell surface glycoprotein CD3 gamma chain,1,0.008,0.068,0.0,0.0,0.0,0.003,0.048,0.0,0.0,0.0,0.0,0.0,0.001,0.0,,,
SPINT3.7926.13.3,P49223,SPINT3,Kunitz-type protease inhibitor 3,75,0.135,0.347,0.056,0.266,0.0,0.043,0.244,0.093,0.082,0.302,0.093,0.025,0.173,0.093,,,
TPST1.7928.183.3,O60507,TPST1,Protein-tyrosine sulfotransferase 1,15,0.019,0.13,0.025,0.156,0.0,0.021,0.151,0.133,0.016,0.107,0.133,0.003,0.04,0.133,,,
EXOSC1.7930.3.3,Q9Y3B2,EXOSC1,Exosome complex component CSL4,2,0.012,0.048,0.0,0.004,0.0,0.005,0.076,0.5,0.004,0.072,0.5,0.0,,0.5,,,
ADAM22.7933.75.3,Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,20,0.034,0.182,0.059,0.253,0.0,0.023,0.148,0.15,0.067,0.232,0.15,0.025,0.176,0.15,,,
NDRG4.7934.11.3,Q9ULP0,NDRG4,Protein NDRG4,50,0.096,0.303,0.0,0.003,0.0,0.0,0.006,0.14,0.001,0.003,0.14,0.001,0.006,0.14,,,
LARGE.7935.26.3,O95461,LARGE1,Glycosyltransferase-like protein LARGE1,1,0.014,0.09,0.0,0.003,0.0,0.0,,0.0,0.005,-0.077,0.0,0.0,,0.0,,,
CUZD1.7943.16.3,Q86UP6,CUZD1,CUB and zona pellucida-like domain-containing protein 1,74,0.285,0.486,0.0,-0.032,0.0,0.002,0.0,0.068,0.0,-0.046,0.068,0.003,0.035,0.068,,,
SEMA6A.7945.10.3,Q9H2E6,SEMA6A,Semaphorin-6A,29,0.08,0.283,0.015,0.117,0.138,0.009,0.088,0.345,0.035,0.166,0.345,0.023,0.147,0.345,,,
ENTHD2.7947.19.3,Q96N21,TEPSIN,AP-4 complex accessory subunit tepsin,8,0.028,0.073,0.006,0.047,0.0,0.006,-0.063,0.0,0.004,-0.039,0.0,0.001,-0.015,0.0,,,
GLTPD2.7948.129.3,A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,20,0.081,0.241,0.084,0.242,0.0,0.009,0.086,0.05,0.019,0.157,0.05,0.002,0.076,0.05,,,
VTI1A.7952.2.3,Q96AJ9,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,1,0.011,0.102,0.0,-0.0,0.0,0.004,0.061,0.0,0.004,0.061,0.0,0.002,-0.05,0.0,,,
ITIH1.7955.195.3,P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,125,0.236,0.484,0.275,0.53,0.0,0.244,0.523,0.072,0.126,0.354,0.072,0.164,0.427,0.072,,,
MINOS1.7956.11.3,Q5TGZ0,MICOS10,MICOS complex subunit MIC10,187,0.626,0.771,0.673,0.795,0.037,0.54,0.702,0.091,0.558,0.749,0.091,0.544,0.714,0.091,,,
SCG3.7957.2.3,Q8WXD2,SCG3,Secretogranin-3,40,0.107,0.297,0.133,0.34,0.0,0.0,-0.007,0.025,0.096,0.283,0.025,0.011,0.056,0.025,,,
CDH7.7959.34.3,Q9ULB5,CDH7,Cadherin-7,39,0.111,0.336,0.109,0.333,0.0,0.026,0.172,0.051,0.041,0.21,0.051,0.012,0.13,0.051,,,
POTEG.7960.53.3,Q6S5H5,POTEG,POTE ankyrin domain family member G,2,0.017,0.085,0.0,-0.007,0.0,0.0,,0.0,0.0,0.025,0.0,0.003,0.057,0.0,,,
HBQ1.7965.25.3,P09105,HBQ1,Hemoglobin subunit theta-1,46,0.139,0.341,,,,,,,,,,,,,,,
POTEM.7967.38.3,A6NI47,POTEM,Putative POTE ankyrin domain family member M,1,0.011,0.104,0.0,0.002,0.0,0.0,,0.0,0.0,-0.02,0.0,0.0,,0.0,,,
WFDC11.7969.163.3,Q8NEX6,WFDC11,Protein WFDC11,7,0.015,0.12,0.0,-0.007,0.0,0.003,-0.055,0.143,0.0,0.018,0.143,0.002,0.04,0.143,,,
ART3.7970.315.3,Q13508,ART3,Ecto-ADP-ribosyltransferase 3,30,0.075,0.269,0.068,0.249,0.0,0.08,0.294,0.1,0.055,0.241,0.1,0.074,0.273,0.1,,,
B3GNT2.7980.72.3,Q9NY97,B3GNT2,N-acetyllactosaminide beta-1_3-N-acetylglucosaminyltransferase 2,39,0.151,0.395,0.231,0.487,0.0,0.178,0.431,0.18,0.128,0.363,0.18,0.142,0.382,0.18,,,
B3GALT6.7981.230.3,Q96L58,B3GALT6,Beta-1_3-galactosyltransferase 6,4,0.013,0.112,0.001,0.03,0.0,0.002,-0.037,0.0,0.002,0.05,0.0,0.006,0.067,0.0,,,
PCDHGC5.7983.1.3,Q9Y5F6,PCDHGC5,Protocadherin gamma-C5,13,0.025,0.153,0.0,-0.001,0.0,0.01,0.106,0.0,0.0,0.001,0.0,0.001,0.04,0.0,,,
NAALAD2.7986.98.3,Q9Y3Q0,NAALAD2,N-acetylated-alpha-linked acidic dipeptidase 2,43,0.073,0.25,0.077,0.287,0.07,0.095,0.295,0.116,0.062,0.258,0.116,0.072,0.265,0.116,,,
ERO1LB.7994.41.3,Q86YB8,ERO1B,ERO1-like protein beta,31,0.076,0.271,0.005,0.061,0.0,0.0,0.002,0.032,0.008,0.111,0.032,0.005,0.071,0.032,,,
DOC2B.7997.118.3,Q14184,DOC2B,Double C2-like domain-containing protein beta,69,0.146,0.381,0.001,0.03,0.072,0.021,0.124,0.087,0.0,-0.002,0.087,0.0,-0.003,0.087,,,
ENTPD1.7999.23.3,P49961,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,10,0.018,0.129,0.009,0.098,0.0,0.013,0.108,0.0,0.004,0.066,0.0,0.014,0.11,0.0,,,
KIR2DL5A.8000.17.3,Q8N109,KIR2DL5A,Killer cell immunoglobulin-like receptor 2DL5A,130,0.45,0.648,0.185,0.464,0.615,0.011,0.114,0.6,0.04,0.212,0.6,0.007,0.087,0.6,,,
MXRA7.8005.1.3,P84157,MXRA7,Matrix-remodeling-associated protein 7,13,0.032,0.161,0.085,0.283,0.0,0.024,0.137,0.077,0.025,0.148,0.077,0.034,0.177,0.077,,,
DNAJB12.8006.12.3,Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12,1,0.01,0.046,0.0,-0.009,0.0,,,,,,,,,,,,
SURF1.8009.121.3,Q15526,SURF1,Surfeit locus protein 1,15,0.082,0.23,0.014,0.08,0.0,0.061,0.265,0.133,0.005,0.073,0.133,0.026,0.168,0.133,,,
LMAN2L.8013.9.3,Q9H0V9,LMAN2L,VIP36-like protein,7,0.029,0.181,0.01,0.1,0.0,0.004,0.054,0.0,0.017,0.126,0.0,0.003,0.035,0.0,,,
MANEA.8014.359.3,Q5SRI9,MANEA,Glycoprotein endo-alpha-1_2-mannosidase,119,0.473,0.586,0.426,0.523,0.0,0.34,0.435,0.143,0.241,0.383,0.143,0.178,0.286,0.143,,,
FOXRED1.8017.23.3,Q96CU9,FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1,1,0.009,0.069,0.0,0.015,0.0,0.0,,0.0,0.004,-0.071,0.0,0.0,,0.0,,,
VSIG2.8018.43.3,Q96IQ7,VSIG2,V-set and immunoglobulin domain-containing protein 2,11,0.024,0.084,0.086,0.215,0.0,0.054,0.161,0.182,0.055,0.133,0.182,0.0,0.045,0.182,,,
STMN3.8019.73.3,Q9NZ72,STMN3,Stathmin-3,70,0.118,0.331,0.0,-0.014,0.029,0.002,0.036,0.114,0.005,-0.051,0.114,0.002,0.04,0.114,,,
TPST2.8024.64.3,O60704,TPST2,Protein-tyrosine sulfotransferase 2,42,0.091,0.3,0.036,0.196,0.0,0.009,0.085,0.214,0.005,0.087,0.214,0.0,0.018,0.214,,,
SPINK5.8028.22.3,Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,1,0.012,0.057,0.0,0.011,0.0,0.0,-0.01,0.0,0.0,0.028,0.0,0.007,0.089,0.0,,,
DRGX.8034.6.3,A6NNA5,DRGX,Dorsal root ganglia homeobox protein,45,0.223,0.5,0.255,0.527,0.0,0.189,0.464,0.111,0.213,0.495,0.111,0.18,0.441,0.111,,,
NSDHL.8038.41.3,Q15738,NSDHL,Sterol-4-alpha-carboxylate 3-dehydrogenase_ decarboxylating,3,0.031,0.157,0.023,0.145,0.0,0.059,0.231,0.0,0.041,0.206,0.0,0.031,0.157,0.0,,,
FAM177A1.8039.41.3,Q8N128,FAM177A1,Protein FAM177A1,122,0.213,0.443,0.141,0.37,0.008,0.083,0.282,0.107,0.079,0.266,0.107,0.056,0.236,0.107,,,
LEMD1.8040.9.3,Q68G75,LEMD1,LEM domain-containing protein 1,39,0.085,0.268,0.0,-0.013,0.0,0.0,-0.002,0.128,0.0,-0.009,0.128,0.009,0.085,0.128,,,
COMP.8043.153.3,P49747,COMP,Cartilage oligomeric matrix protein,1,0.012,0.108,0.001,0.055,0.0,,,,,,,,,,,,
XG.8044.90.3,P55808,XG,Glycoprotein Xg,6,0.026,0.156,0.0,0.01,0.0,0.002,0.046,0.167,0.0,0.003,0.167,0.002,-0.085,0.167,,,
FTMT.8048.9.3,Q8N4E7,FTMT,Ferritin_ mitochondrial,1815,0.288,0.495,0.155,0.371,0.301,0.002,0.042,0.214,0.015,0.12,0.214,0.004,0.039,0.214,,,
AGGF1.8051.10.3,Q8N302,AGGF1,Angiogenic factor with G patch and FHA domains 1,2,0.02,0.143,0.0,0.001,0.0,0.0,-0.002,0.0,0.001,0.03,0.0,0.001,-0.042,0.0,,,
DNAJB14.8053.16.3,Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14,77,0.149,0.382,0.0,0.002,0.026,0.003,-0.042,0.117,0.005,-0.073,0.117,0.004,0.034,0.117,,,
DGCR2.8055.33.3,P98153,DGCR2,Integral membrane protein DGCR2/IDD,1,0.011,0.09,0.0,0.007,0.0,,,,,,,,,,,,
PATE4.8065.245.3,P0C8F1,PATE4,Prostate and testis expressed protein 4,64,0.088,0.291,0.03,0.183,0.016,0.022,0.148,0.047,0.06,0.245,0.047,0.007,0.116,0.047,,,
KIAA1161.8068.43.3,Q6NSJ0,MYORG,Uncharacterized family 31 glucosidase KIAA1161,17,0.049,0.222,0.031,0.183,0.0,0.003,0.032,0.059,0.018,0.14,0.059,0.026,0.13,0.059,,,
CD3E.8069.85.3,P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,59,0.141,0.373,0.039,0.196,0.119,0.012,0.115,0.051,0.034,0.175,0.051,0.02,0.146,0.051,,,
TMEM70.8074.32.3,Q9BUB7,TMEM70,Transmembrane protein 70_ mitochondrial,1,0.009,0.092,0.001,0.027,0.0,0.002,-0.053,0.0,0.002,0.041,0.0,0.0,-0.034,0.0,,,
SPACA3.8076.4.3,Q8IXA5,SPACA3,Sperm acrosome membrane-associated protein 3,29,0.08,0.284,0.011,0.101,0.034,0.014,0.109,0.0,0.009,0.093,0.0,0.0,-0.0,0.0,,,
EID3.8079.39.3,Q8N140,EID3,EP300-interacting inhibitor of differentiation 3,2,0.025,0.159,0.001,0.04,0.0,0.005,0.072,0.0,0.006,-0.06,0.0,0.001,0.002,0.0,,,
MSMP.8080.24.3,Q1L6U9,MSMP,Prostate-associated microseminoprotein,5,0.024,0.143,0.023,0.15,0.0,0.008,0.103,0.0,0.018,0.174,0.0,0.037,0.199,0.0,,,
RNF13.8087.250.3,O43567,RNF13,E3 ubiquitin-protein ligase RNF13,40,0.103,0.329,0.02,0.145,0.0,0.043,0.209,0.0,0.033,0.2,0.0,0.056,0.215,0.0,,,
C1orf210.8088.56.3,Q8IVY1,C1orf210,Type III endosome membrane protein TEMP,2,0.02,0.104,0.0,-0.001,0.0,0.0,-0.019,0.5,0.0,0.037,0.5,0.001,0.04,0.5,,,
IL6R.8092.29.3,P08887,IL6R,Interleukin-6 receptor subunit alpha,123,0.602,0.778,,,,,,,,,,,,,,,
LIPN.8097.77.3,Q5VXI9,LIPN,Lipase member N,171,0.567,0.768,0.289,0.558,0.012,0.149,0.399,0.117,0.238,0.479,0.117,0.14,0.39,0.117,,,
SPON2.8099.42.3,Q9BUD6,SPON2,Spondin-2,24,0.032,0.161,0.045,0.207,0.042,0.02,0.15,0.167,0.044,0.199,0.167,0.029,0.141,0.167,,,
ADM2.8100.15.3,Q7Z4H4,ADM2,ADM2,4,0.016,0.107,0.0,-0.013,0.0,0.0,0.005,0.0,0.015,0.12,0.0,0.0,-0.003,0.0,,,
ZG16.8219.14.3,O60844,ZG16,Zymogen granule membrane protein 16,25,0.046,0.191,0.001,0.023,0.0,0.001,0.056,0.16,0.0,-0.012,0.16,0.001,0.028,0.16,,,
C10orf35.8220.15.3,Q96D05,FAM241B,Uncharacterized protein C10orf35,4,0.031,0.151,0.0,0.007,0.0,0.001,-0.008,0.0,0.001,0.014,0.0,0.0,-0.038,0.0,,,
EPHB2.8225.86.3,P29323,EPHB2,Ephrin type-B receptor 2,11,0.058,0.179,0.089,0.22,0.0,0.161,0.367,0.0,0.077,0.189,0.0,0.185,0.342,0.0,,,
GXYLT1.8229.1.3,Q4G148,GXYLT1,Glucoside xylosyltransferase 1,56,0.142,0.361,0.124,0.325,0.018,0.054,0.22,0.089,0.042,0.186,0.089,0.052,0.219,0.089,,,
FLT1.8231.122.3,P17948,FLT1,Vascular endothelial growth factor receptor 1,22,0.138,0.38,0.034,0.187,0.0,0.047,0.216,0.0,0.094,0.302,0.0,0.086,0.305,0.0,,,
AMICA1.8232.90.3,Q86YT9,JAML,Junctional adhesion molecule-like,105,0.462,0.658,,,,,,,,,,,,,,,
ITIH5.8233.2.3,Q86UX2,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,30,0.113,0.34,0.049,0.219,0.033,0.119,0.338,0.1,0.03,0.21,0.1,0.049,0.232,0.1,,,
CHGB.8235.48.3,P05060,CHGB,Secretogranin-1,1,0.01,0.097,0.0,0.005,0.0,0.0,0.016,0.0,0.0,-0.019,0.0,0.009,-0.12,0.0,,,
GPNMB.8240.207.3,Q14956,GPNMB,Transmembrane glycoprotein NMB,12,0.051,0.159,,,,,,,,,,,,,,,
FUT8.8244.16.3,Q9BYC5,FUT8,Alpha-(1_6)-fucosyltransferase,136,0.376,0.582,0.418,0.628,0.029,0.22,0.461,0.125,0.117,0.369,0.125,0.35,0.568,0.125,,,
ICAM5.8245.27.3,Q9UMF0,ICAM5,Intercellular adhesion molecule 5,99,0.36,0.578,0.327,0.556,0.03,0.295,0.543,0.172,0.233,0.464,0.172,0.373,0.609,0.172,,,
SIGLEC14.8248.222.3,Q08ET2,SIGLEC14,Sialic acid-binding Ig-like lectin 14,121,0.433,0.614,0.406,0.595,0.008,0.001,0.048,0.074,0.324,0.568,0.074,0.099,0.313,0.074,,,
PTPRJ.8250.2.3,Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,3,0.011,0.096,0.0,-0.011,0.0,0.009,-0.096,0.0,0.006,0.102,0.0,0.001,0.028,0.0,,,
POMGNT1.8253.2.3,Q8WZA1,POMGNT1,Protein O-linked-mannose beta-1_2-N-acetylglucosaminyltransferase 1,1,0.012,0.094,0.001,-0.021,0.0,0.001,0.03,0.0,0.001,-0.014,0.0,0.0,0.001,0.0,,,
MRVI1.8255.34.3,Q9Y6F6,MRVI1,Protein MRVI1,64,0.105,0.311,0.0,-0.007,0.016,0.001,0.034,0.125,0.001,0.008,0.125,0.005,0.066,0.125,,,
OXT.8257.71.3,P01178,OXT,Oxytocin-neurophysin 1,1,0.012,0.097,,,,,,,,,,,,,,,
STOM.8261.51.3,P27105,STOM,Erythrocyte band 7 integral membrane protein,63,0.093,0.301,0.012,0.105,0.048,0.002,-0.002,0.063,0.005,0.058,0.063,0.003,0.015,0.063,,,
APOD.8262.20.3,P05090,APOD,Apolipoprotein D,1,0.011,0.086,,,,,,,,,,,,,,,
DLL1.8264.43.3,O00548,DLL1,Delta-like protein 1,2,0.018,0.113,,,,,,,,,,,,,,,
TMPO.8265.225.3,P42167,TMPO,Lamina-associated polypeptide 2_ isoforms beta/gamma,73,0.128,0.341,0.0,-0.007,0.027,0.001,0.024,0.11,0.0,0.012,0.11,0.003,0.046,0.11,,,
HS3ST3A1.8268.98.3,Q9Y663,HS3ST3A1,Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,16,0.027,0.156,0.0,0.002,0.0,0.001,0.023,0.125,0.0,0.019,0.125,0.004,0.038,0.125,,,
ARSK.8269.327.3,Q6UWY0,ARSK,Arylsulfatase K,14,0.047,0.225,0.04,0.206,0.0,0.01,0.117,0.0,0.023,0.153,0.0,0.013,0.129,0.0,,,
STX7.8274.64.3,O15400,STX7,Syntaxin-7,69,0.156,0.398,0.001,0.023,0.014,0.006,0.079,0.101,0.0,0.01,0.101,0.004,0.056,0.101,,,
PEAR1.8275.31.3,Q5VY43,PEAR1,Platelet endothelial aggregation receptor 1,26,0.07,0.264,0.071,0.26,0.038,0.08,0.279,0.077,0.1,0.338,0.077,0.093,0.274,0.077,,,
VTN.8280.238.3,P04004,VTN,Vitronectin,9,0.059,0.23,,,,,,,,,,,,,,,
CD300E.8287.17.3,Q496F6,CD300E,CMRF35-like molecule 2,11,0.029,0.162,,,,,,,,,,,,,,,
APOH.8288.27.3,P02749,APOH,Beta-2-glycoprotein 1,36,0.165,0.261,0.123,0.182,0.0,0.01,0.117,0.333,0.027,0.074,0.333,0.012,0.072,0.333,,,
GPNMB.8289.8.3,Q14956,GPNMB,Transmembrane glycoprotein NMB,6,0.037,0.162,0.058,0.184,0.0,0.0,0.069,0.0,0.008,0.143,0.0,0.0,0.089,0.0,,,
OLFM2.8295.16.3,O95897,OLFM2,Noelin-2,38,0.132,0.343,,,,,,,,,,,,,,,
KDELC2.8296.117.3,Q7Z4H8,POGLUT3,KDEL motif-containing protein 2,15,0.08,0.144,0.083,0.148,0.0,0.0,-0.002,0.467,0.009,0.119,0.467,0.004,0.056,0.467,,,
